DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
4/14/2016 2:02,676061000,36.51556,17.114,268.6,6.7,511,9008586,HELSE,9OLF,70,70,12,6,5,4.3,SOUSSE,4/15/2016 23:00
4/14/2016 2:02,247293900,36.49636,17.69443,91.4,13.2,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,4/15/2016 20:00
4/14/2016 2:02,249988000,36.43061,17.15088,266.6,11.1,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,4/14/2016 7:00
4/14/2016 2:02,477216000,36.4192,16.66848,90,14.1,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,4/16/2016 7:00
4/14/2016 2:02,246739000,36.45713,16.99757,90.4,10.7,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 2:02,371024000,37.45997,17.18764,284,9.3,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 2:03,240047000,36.47599,16.47207,270,6.1,511,8518168,EUROPE,SY3511,32,10,26,5,5,5.3,GIBRALTAR,4/20/2016 6:00
4/14/2016 2:03,304014000,36.47633,16.72083,272,9.4,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,4/22/2016 20:00
4/14/2016 2:04,247318400,36.57127,16.863,117.8,11.9,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,4/16/2016 12:00
4/14/2016 2:08,563112000,37.52848,16.45152,219.6,14,511,9664938,KILBURN,9V5605,80,101,19,15,5,5.4,LAVERA FRANCE,4/16/2016 12:00
4/14/2016 2:09,372246000,36.98114,17.35236,69.7,13,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,4/15/2016 4:00
4/14/2016 3:00,477699600,36.41347,18.04581,89.6,15.2,511,9630418,HANJIN GWANSEUM,VRNY4,74,244,93,31,17,13.2,PIRAEUS,4/15/2016 4:00
4/14/2016 3:01,247318400,36.48089,17.06905,118.4,12.3,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,4/16/2016 12:00
4/14/2016 3:02,538002689,36.51016,17.04374,263.4,10.7,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,4/17/2016 8:00
4/14/2016 3:02,676061000,36.52192,16.97155,276.3,6.8,511,9008586,HELSE,9OLF,70,70,12,6,5,4.3,SOUSSE,4/15/2016 23:00
4/14/2016 3:02,247293900,36.48981,17.97353,89.9,13.1,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,4/15/2016 20:00
4/14/2016 3:02,477216000,36.4064,16.95805,93,14.1,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,4/16/2016 7:00
4/14/2016 3:02,246739000,36.45833,17.22068,90.4,10.8,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 3:03,372246000,37.05337,17.59094,69.2,13,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,4/15/2016 4:00
4/14/2016 3:04,255805806,37.34982,17.84736,287,15.6,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,4/14/2016 23:00
4/14/2016 3:04,371024000,37.49959,16.99171,286,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 3:09,304014000,36.48267,16.51117,272,9.1,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,4/22/2016 20:00
4/14/2016 3:24,249988000,36.4142,16.84118,266,11.1,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,4/14/2016 7:00
4/14/2016 3:43,246432000,36.5127,16.7694,94,11.7,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,4/17/2016 12:00
4/14/2016 4:00,371024000,37.53735,16.82222,286.5,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 4:02,538002689,36.49661,16.8346,286,10.6,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,4/17/2016 8:00
4/14/2016 4:02,249988000,36.40526,16.68656,264.1,10.8,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,4/14/2016 7:00
4/14/2016 4:02,246739000,36.45258,17.44805,95,10.4,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 4:02,667001549,37.42229,17.95499,284.3,10.6,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,4/17/2016 11:00
4/14/2016 4:03,372246000,37.1247,17.82162,69.1,12.4,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,4/15/2016 4:00
4/14/2016 4:04,255805806,37.42341,17.53486,287,15.3,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,4/14/2016 23:00
4/14/2016 4:04,305211000,37.64948,16.42212,39.6,12.5,511,9351361,NORMED ANTWERPEN,V2DG9,70,115,13,10,8,8.6,ZELENIKA,4/15/2016 6:00
4/14/2016 4:07,246432000,36.50943,16.86495,91,11.8,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,4/17/2016 12:00
4/14/2016 4:24,477216000,36.40448,17.35855,90,14,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,4/16/2016 7:00
4/14/2016 5:02,538002689,36.52176,16.61185,274.1,10.7,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,4/17/2016 8:00
4/14/2016 5:02,249988000,36.40131,16.45695,263,11,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,4/14/2016 7:00
4/14/2016 5:02,667001549,37.4602,17.73524,283.7,10.4,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,4/17/2016 11:00
4/14/2016 5:04,255805806,37.50702,17.20215,289,15.7,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,4/14/2016 23:00
4/14/2016 5:04,477216000,36.40423,17.56828,90,14.3,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,4/16/2016 7:00
4/14/2016 5:04,371024000,37.59108,16.62413,288.8,9.4,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 5:28,246739000,36.44007,17.76386,90,10.8,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 5:52,246432000,36.49925,17.30048,89,11.8,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,4/17/2016 12:00
4/14/2016 6:02,538002689,36.53353,16.38705,272,10.9,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,4/17/2016 8:00
4/14/2016 6:02,667001549,37.50901,17.52033,287.2,10.5,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,4/17/2016 11:00
4/14/2016 6:02,356189000,36.51172,16.46565,91,12.2,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,4/18/2016 18:00
4/14/2016 6:04,246432000,36.49749,17.33412,96,11.8,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,4/17/2016 12:00
4/14/2016 6:04,371024000,37.6337,16.43424,283.9,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,4/14/2016 11:00
4/14/2016 6:04,255805806,37.58903,16.88841,287,15.6,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,4/14/2016 23:00
4/14/2016 6:32,477216000,36.3962,17.99118,91,14.1,511,9197935,GENCO PIONEER,VRYI4,70,149,21,18,8,7.5,KROMAN,4/16/2016 7:00
4/14/2016 6:36,246739000,36.43488,18.00111,89,10.5,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,4/16/2016 8:00
4/14/2016 6:38,636092576,36.48409,18.04591,274.5,11.8,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9,AVEIRO,4/19/2016 6:00
4/14/2016 7:02,667001549,37.55358,17.30016,282.2,10.6,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,4/17/2016 11:00
4/14/2016 7:02,356189000,36.49987,16.71503,90,12.1,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,4/18/2016 18:00
4/14/2016 7:03,372400000,37.39054,17.79886,284.4,19.3,511,9467421,MSC MARIA SAVERIA,3FLE8,71,146,220,32,16,10.8, GIOIA TAURO,4/14/2016 17:00
4/14/2016 7:03,636017041,36.91912,17.95482,295,19.9,511,9108178,BOX CHINA,D5JA4,73,191,85,28,12,13,GIOIA TAURO,4/14/2016 16:00
4/14/2016 7:04,246432000,36.48229,17.59704,93,12,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,4/17/2016 12:00
4/14/2016 7:04,255805806,37.66213,16.59576,288,12.6,511,9216365,JUDITH BORCHARD,CQAD,71,141,18,14,11,7.7,SALERNO,4/14/2016 23:00
4/14/2016 7:12,636092576,36.49065,17.90686,271,11.7,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9,AVEIRO,4/19/2016 6:00
4/14/2016 8:02,667001549,37.59625,17.0894,284.5,10.8,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,4/17/2016 11:00
4/14/2016 8:02,356189000,36.48937,16.96215,92,12.5,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,4/18/2016 18:00
4/14/2016 8:02,372400000,37.47897,17.40097,285.5,18.5,511,9467421,MSC MARIA SAVERIA,3FLE8,71,146,220,32,16,10.8, GIOIA TAURO,4/14/2016 17:00
4/14/2016 8:04,636092576,36.49716,17.69398,274,11.6,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9,AVEIRO,4/19/2016 6:00
4/14/2016 8:04,246432000,36.47006,17.84282,93,11.7,511,9190212,ZEUS,PCIK,70,109,21,7,8,7.7,DILISKELESI,4/17/2016 12:00
4/14/2016 8:09,636017041,37.06643,17.57177,296,19.8,511,9108178,BOX CHINA,D5JA4,73,191,85,28,12,13,GIOIA TAURO,4/14/2016 16:00
4/14/2016 9:02,667001549,37.64703,16.86444,286.6,10.8,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,4/17/2016 11:00
4/14/2016 9:03,636017041,37.2228,17.1944,300,20,511,9108178,BOX CHINA,D5JA4,73,191,85,28,12,13,GIOIA TAURO,4/14/2016 16:00
